# Bronlijst uit "Complete Gids Natuur- en Wandelgebieden in Nederland"
# formaat: groep|nr|naam|paginanummer
53|23|Luchtkasteel|280
53|24|Oud Bussum|322
53|25|De Beek en Reigerseiland|118
53|26|IJzeren Veld, Bikbergen en Crailo|233
53|27|Tafelberg-, Blaricummer- en Noorderheide|382
53|28|Huizer Eng|230
53|29|Eemmeer|169
53|30|Eemland|169
53|31|Mauvezand, Hondehei en Bosje van Six|286
53|32|Bussummerheide|148
53|33|De Snip|368
53|34|Westerheide|420
53|35|Postiljonheide en Laarder Eng|335
53|36|Zuiderheide, Laarder Wasmeer en Lieberg|439
53|37|Anna's Hoeve|111
53|38|Arkemheen|113
53|39|Oldenaller|313
54|1|Heggenlandschap de Wildwallen|210
54|2|Karekietbos|240
54|3|Harderbos|207
54|4|Harderbroek|207
54|5|Kievitslanden|245
54|6|Spijk en Bremerberg|372
54|7|Stranden en Voorlanden Drontenmeer en Veluwemeer|380
54|8|Veluwerandmeren|397
54|9|Veluwemeerkust|396
54|10|Hulshorst|231
54|11|Groeneveld|197
54|12|De Ihorst|232
54|13|Oeverlanden Veluwemeer|312
54|14|Bos Klaterweg|135
54|15|De Haere|206
54|16|Van 't Goorsveld|192
54|17|Johannahoewe|236
54|18|Schouwenburg|361
54|19|Zwaluwenburg|442
54|20|Oldebroek landschapselementen|312
54|21|De Zwaluwenberg|441
54|22|Gemeentebos Harderwijk|187
54|23|Beekhuizerzand|119
54|24|Leuvenumse Bos|274
54|25|Leuvenhorst|273
54|26|Het Willemsbos|428
54|27|Boscomplex Nunspeet|136
54|28|Elspeetsche Heide|173
54|29|Stakenberg|375
54|30|Schotkamp|361
54|31|Nunspeet|309
54|32|Boscomplex Vierhouten|137
54|33|Saxenheim|353
54|34|Vierhoutense Heide|400
54|35|Het Feithenhof|178
54|36|Tongerense Heide|387
54|37|Wisselse Veen|429
54|38|Tongeren|387
54|39|Paalveen|327
54|40|West-Raven|422
54|41|Weeser Enk|416
54|42|Scherpenberg en Morena|356
54|43|Majuba|282
54|44|Gemeentebossen Epe|187
54|45|De Dellen en Ambtsbos|156
54|46|Stormbroek|379
54|47|Groevenbeekse Heide|198
54|48|Oud Groevenbeek|322
54|49|Bossen Ermelo|138
54|50|Sparrendaal|371
54|51|Ermelosche Heide|176
54|52|Speulder- en Sprielderbos|372
54|53|Schovenhorst|362
54|54|Klein Veenhuizen|246
54|55|Bergsham|124
54|56|De Wakel|410
54|57|Wilde Kamp|426
54|58|Leuvenum|274
54|59|Staverden|376
54|60|De Grote Kolonie|201
54|61|De Kleine Kolonie|247
54|62|Boscomplex Elspeet|136
54|63|Elspeterveld|174
54|64|Houtdorperveld en Speulderveid|228
54|65|'t Sol|369
54|66|Elspeterbosch|174
54|67|Elspeter Struiken|174
54|68|Koninklijke Houtvesterij Het Loo|251
54|69|Schaveren|355
54|70|Wildlust|427
54|71|Wildweg|427
54|72|Cannenburgerbos|149
54|73|Zandhegge|434
54|74|Garderen|185
54|75|Berg en Bos|122
55|1|Petrea|330
55|2|Zwolse Bos|444
55|3|Kamperklippen|238
55|4|Klein Stokkert|246
55|5|Renderklippen en Gemeentebossen Heerde|343
55|6|Boshoven|137
55|7|Heerdersprengen|209
55|8|Vosbergen|406
55|9|Bonenburg|133
55|10|Heerde landschapselementen|209
55|11|Gemeentebossen Epe|187
55|12|Groene Zee|197
55|13|Kwelgebieden in de gemeente Epe|260
55|14|Veesserwaarden|394
55|15|Welsumerwaarden|418
55|16|Fortmond|183
55|17|Vorchterwaarden|405
55|18|Buitenwaarden Wijhe|147
55|19|'t Rozendael en 't Nijenhuis|350
55|20|De Vlaminkhorst|401
55|21|De Bril|144
55|22|'t Reelaer|341
55|23|Heideblok Heino|211
55|24|Raalterwoold|337
55|25|Hoge Broek|220
55|26|Luttenbergerven|280
55|27|Luttenberg|280
55|28|Vossenbroek|406
55|29|Katerstede|243
55|30|Hoenlo|218
55|31|Nijendal|304
55|32|De Haere|205
55|33|Hengforder Waarden|214
55|34|Meintjes|289
55|35|Boerdam|132
55|36|Dorperwaarden|162
55|37|Rande|338
55|38|Twello landschapselementen|389
55|39|Middel|291
55|40|Boxbergen|141
55|41|Zorgvliet|438
55|42|De Hei|211
55|43|Het Overvelde|327
55|44|De Kranenkamp (Noord)|256
55|45|De Kranenkamp|256
55|46|De Hoek|218
55|47|Frieswijk|184
55|48|Wechelerveld|414
55|49|Wechelerveld|414
55|50|Het Neppelenbroek|302
55|51|Groot Zwaaftink|199
55|52|Boetelerveld|133
55|53|Sprengenberg|373
55|54|De Beernink en De Voorhorst|119
55|55|'t Wesselink|418
55|56|Lettele landschapselementen|272
55|57|De Grote Schaersberg|202
55|58|Oostermaet|318
55|59|Landgoed Wezeveld|266
55|60|Bruggenbosch|145
55|61|Hunderen|231
55|62|De Groote Noordijk|200
55|63|Kleine Noordijk|247
55|64|Epserwaarden|176
55|65|Hassinkbos|208
55|66|De Wijtenhorst|426
55|67|De Bannink|116
55|68|De Bannink|117
55|69|Bathmen landschapselementen|117
55|70|Bathmense Broek|117
55|71|Oude Schipbeek|324
55|72|Het Langenbergerveld|267
55|73|Dorth|163
56|1|Sallandse Heuvelrug|352
56|2|Duivecate|166
56|3|Wierdense Veld|424
56|4|Het Lageveld|263
56|5|Fayersheide|178
56|6|Kooiplas Vriezenveen|252
56|7|Schultenwolde|362
56|8|Mekkelenberg|290
56|9|Huize Almelo|230
56|10|Sprengenberg|373
56|11|Holterberg|222
56|12|Holten landschapselementen|222
56|13|Noorderbos en Stokkerskampje|306
56|14|De Oosterhof en Volkspark|318
56|15|Groene Kruisbossen|197
56|16|De Borkeld|134
56|17|Friezenberg|184
56|18|Markelo landschapselementen|284
56|19|Entenveen|176
56|20|De Koepel|249
56|21|Mokkelengoor|294
56|22|Nijreesbos|305
56|23|Krikkenhaar|257
56|24|Het Weleveld|418
56|25|Stroomesch|381
56|26|Het Warmtink|413
56|27|Twickel|389
56|28|Verwolde|399
56|29|Markelose Berg|285
56|30|Weldam|417
56|31|Wiene|
57|1|Bergvennen|124
57|2|Hazelbekke|209
57|3|Vasserheide en Vassergrafveld|394
57|4|Kuiperberg|259
57|5|Haarlergrafveld|205
57|6|Reutum|344
57|7|Herinckhave|214
57|8|Agelo-Reutum landschapselementen|104
57|9|Achter de Voort|103
57|10|Rossumermeden|348
57|11|Agelerbroek|104
57|12|Hunenborg|231
57|13|Voltherbroek|403
57|14|Erve Scholten Linde|177
57|15|Singraven|363
57|16|Dinkelland|158
57|17|Dulder|166
57|18|Molenven|295
57|19|Gravenbos|194
57|20|Gammelke|185
57|21|Roderveld|346
57|22|Hakenberg|206
57|23|Egheria|171
57|24|'t Hanhof|207
57|25|Molterheurne|296
57|26|Elfterheurne|173
57|27|Berninkholt|125
57|28|Het Beernink|119
57|29|Arboretum Poort-Bulten|113
57|30|Grevenmaat|196
57|31|Boerskotten|132
57|32|Hoge Venterink|221
57|33|Het Hulsbeek|231
57|34|Het Holthuis|222
57|35|Duivelshof|166
57|36|Hengelman|214
57|37|Smoddebos|368
57|38|Snippert|368
57|39|Haagse Bos|204
57|40|Val Sugana|393
57|41|Lonnekerberg|278
57|42|Weusthagpark|422
57|43|De Wildernis|427
57|44|Hof Espelo|219
57|45|Het Stroot|381
57|46|'t Bouwhuis|141
57|47|De Vieker|399
57|48|De Hooge Boekel|224
57|49|Galgenven|185
57|50|De Tip|386
57|51|Penninkskotten|330
57|52|Lindermaten|276
57|53|De Krabbe|255
58|1|Meijendel-Wassenaar|288
58|2|Waalsdorp|408
58|3|Haagse parken en buitenplaatsen|204
58|4|Haagsche Bosch|203
58|5|Van Leyden-Hof|275
58|6|Park 't Hof|329
58|7|Elsenburgerbos|173
59|1|Pan van Persijn|328
59|2|De Leidse Hout|271
59|3|Oud Poelgeest|323
59|4|Koudenhoorn|255
59|5|Oostergeest|318
59|6|Huys te Warmont|232
59|7|Kagerplassen|238
59|8|Blauwe Molen|129
59|9|Braassemermeer|142
59|10|Geerpolder|186
59|11|Meijendel-Wassenaar|288
59|12|Rust en Vreugd|351
59|13|De Horsten|226
59|14|Duivenvoordse Polder|166
59|15|Rosenburgh|348
59|16|Leidschendammerhout|271
59|17|Westeinde|419
59|18|De Wilck|426
59|19|De Rijndijk|345
59|20|Kruiskade|258
59|21|Spijkerboorsekade en Coppierenkade|373
59|22|Nieuwkoopse Plassen|304
59|23|De Haaglanden|203
59|24|Noorderhout|306
59|25|Reeuwijk|342
59|26|Het Steinse Groen|378
60|1|Kamerik-Teylingens|238
60|2|Polder Demmerik|334
60|3|Armenland Ruwiel|114
60|4|De Boterwal|140
60|5|Fort Nieuwersluis|182
60|6|Overplaats Sterreschans|327
60|7|Over Holland|326
60|8|Polder Mijnden|334
60|9|Gunterstein|203
60|10|Loosdrechtse Plassen|279
60|11|Bos van Hacke 'Buitenplaats Eikenrode'|135
60|12|Tienhovense Plassen|385
60|13|Bethunepolder|125
60|14|Nieuwkoopse Plassen|304
60|15|Bovenlanden Kromme Mijdrecht|141
60|16|Achttienhovense Polder|104
60|17|De Haeck|205
60|18|De Meije|288
60|19|Kamerikse Nessen|238
60|20|Oortjespad|316
60|21|Kockengen|249
60|22|Polderreservaat|335
60|23|Rietlanden te Kockengen|345
60|24|Kasteel De Haar|241
60|25|De Bijleveld|128
60|26|Vijverbos|400
60|27|Maarsseveense Plassen|281
60|28|Molenpolder|295
60|29|Gagelpolder|185
60|30|Amelisweerd|107
60|31|Geriefbos te Waarder|189
60|32|Draakpolder|163
60|33|Zijdegat|437
60|34|Benschopper Boezem|121
60|35|Benschop|121
60|36|Houtkaden Lopikerwaard|228
60|37|Broek en Blokland|144
60|38|Noord IJsseldijk|306
60|39|IJsselbos|233
60|40|Het Klaphek|245
60|41|Hoge Grienden|220
60|42|'t Waal|408
60|43|Tull en 't Waal|388
61|1|Groeneveld|197
61|2|Klooster De Stad Gods|248
61|3|Laapersheide|261
61|4|Cronebos|152
61|5|Laapersveld en Laapersbos|261
61|6|Hoorneboegse Heide en Zwarte Berg|225
61|7|Uytwijck|392
61|8|Hilversums Wasmeer en De Zuid|217
61|9|Smithuyserbos|368
61|10|Einde Gooi|172
61|11|Dassenveld|154
61|12|Maartensdijkse Bos|281
61|13|De Vuurschse|407
61|14|Pijnenburg|331
61|15|Eyckenstein|178
61|16|Op Hees|320
61|17|Soesterveen|369
61|18|Coelhorst|150
61|19|Schothorst|361
61|20|Hoevelaken|219
61|21|Zwarte Broek|443
61|22|Appel|112
61|23|Beukenburg|125
61|24|De Leijen|271
61|25|Ridderoordse Bossen|345
61|26|Splinterenburg|373
61|27|Willem Arntsz Bos en Vijverhof|428
61|28|Pleinesbos en Oude Tol|333
61|29|Bos- en Natuurterreinen Soest|135
61|30|De Birkt|128
61|31|Birkhoven en Bokkeduinen|128
61|32|De Paltz|328
61|33|Soesterberg|369
61|34|De Vlasakkers|401
61|35|Oude Kamp|324
61|36|Klein Zwitserland|246
61|37|Nimmerdor|305
61|38|Lockhorsterbos|277
61|39|Bossen achter Rusthof|138
61|40|Erica-Noord|176
61|41|Grote Veenderplas|202
61|42|Houdringe, Beerschoten en Heyntjeskamp|227
61|43|Panbos en Tannenberg|328
61|44|Bosch en Duin|136
61|45|Dijnselburg en Vollenhove|158
61|46|Sandwyck|353
61|47|Oostbroek|316
61|48|Fort bij Rijnaauwen|181
61|49|Niënhof|303
61|50|Fort Vechten|182
61|51|De Raaphorst|337
61|52|Wulperhorst|433
61|53|Buitenplaatsen Driebergseweg|147
61|54|Zeisterbosch|436
61|55|Zeisterwoud|436
61|56|Austerlitz|114
61|57|Kozakkenput en Krakeling|255
61|58|Den Treek-Henschoten|387
61|59|Heidestein, Bornia en Noordhout|211
61|60|De Breul|143
61|61|Beerschoten en Willinkshof|119
61|62|Rijsenburgsebos|345
61|63|Driebergsebos|164
61|64|Sparrendaal|371
61|65|De Kurk|259
61|66|Mollenbos|296
61|67|Het Heihuis|212
61|68|Bos achter de Nieuwe Algemene Begraafplaats|135
61|69|Ludenbos|280
61|70|Hoog Moersbergen, Stameren, Bergweg en De Pol|224
61|71|De Zonheuvel|437
61|72|Huis te Maarn|229
61|73|'t Stort|379
61|74|Anderstein|110
61|75|Broekkerbos|144
61|76|Scherpenzeel-Berkhorst|356
61|77|Breeschoten|143
61|78|Kasteelbos Renswoude|242
61|79|Grebbelinie|194
61|80|Hardenbroek|207
61|81|Leeuwenburgh|270
61|82|Moersbergen|293
61|83|Kaapse Bossen|237
61|84|Sandenburg|353
61|85|Darthuizen|154
61|86|Voreneng|405
61|87|Landgoed Sandenburg|265
61|88|Grote Maat|201
61|89|Broekhuizen|144
61|90|Breeveen en Dartheide|143
61|91|Lombokbossen|278
61|92|Leersum|270
61|93|Lambalgen en Het Hek|263
61|94|De Laan|261
61|95|Hoge Ginkel|220
61|96|Amerongse Berg|108
61|97|Kolland|250
61|98|Kasteel Amerongen|241
61|99|Amerongse Bos en Amerongse Bovenpolder|108
61|100|Prattenburg|335
62|1|Blarikshorst|129
62|2|Speulder- en Sprielderbos|372
62|3|Gemeentebos Putten|187
62|4|Wilbrinkbos|426
62|5|Johannabos|236
62|6|Garderen|185
62|7|De Wittenberg|431
62|8|Stroese Zand|380
62|9|Hoog-Westerwolde|224
62|10|Dalkenschoten|153
62|11|Koninklijke Houtvesterij Het Loo|251
62|12|Orderbos|321
62|13|Het Willemsbos|428
62|14|Van der Huchtbos|228
62|15|De Kooiberg|252
62|16|Bruggelen|145
62|17|Oosterbos|317
62|18|Schaffelaar|354
62|19|Kootwijk|252
62|20|Ugcheln Hoenderloo|390
62|21|Bos te Hoenderloo|135
62|22|Het Spoek|373
62|23|Kruisvoorde|258
62|24|De Groote Woeste Hoeve|201
62|25|Wekeromse Zand|417
62|26|Het Luntersche Buurtbos|280
62|27|Doesburgerheide|159
62|28|Allemanskamp|106
62|29|Kernhem|244
62|30|Edese Bos|168
62|31|Edese Heide|168
62|32|Roekel|346
62|33|De Zanding|435
62|34|Otterlose Bos|322
62|35|Planken Wambuis|331
62|36|Hindenkamp|218
62|37|Noord- en Zuid-Ginkel|306
62|38|De Hoge Veluwe, Het Nationale Park|220
62|39|Delerwoud|154
62|40|Loenermark en Loenense Bos|278
62|41|Veluwezoom, Nationaal Park|397
62|42|Terletse Heide|383
62|43|Arnhemsche Heide|114
62|44|Kemperheide-Deelen|244
62|45|Blauwe Hel|129
62|46|De Hel|213
62|47|Bennekomse Meent|121
62|48|Sysselt|382
62|49|Hoekelum|218
62|50|Bennekomse Buurtheide|121
62|51|De Renkumse Beek|343
62|52|Quadenoord-Boschbeek|337
62|53|Bennekomse Bos|121
62|54|Oostereng|317
62|55|Lange Hut en Grijsoord|266
62|56|Reierscamp|342
62|57|Westerheide|420
62|58|Maasbergse Bossen|281
62|59|Berkenhove|125
62|60|Wolfheze|431
62|61|Sonnenberg en Bilderberg|370
62|62|Johannahoewe|236
62|63|Lichtenbeek en Vijverberg|275
62|64|Warnsborn en Hoog Erf|413
62|65|Schaarsbergen|354
62|66|Koningsheide|250
62|67|De Waterberg|413
62|68|Valkenhuizen|393
62|69|Rozendaalse Veld|350
62|70|Landgoed Rosendaal|265
62|71|Rozendaal|350
62|72|Rosendaal|348
62|73|Sonsbeek, Zijpendaal en Gulden Bodem|370
63|1|Het Woudhuis|432
63|2|Beekbergse Beek|118
63|3|Beekbergerwoud|118
63|4|Lampenbroek|263
63|5|Landgoed Klarenbeek|265
63|6|Ekeby|172
63|7|Appense Bos|113
63|8|Beekzicht|119
63|9|Veluwse Bandijk|397
63|10|Wilperwaarden|428
63|11|Ravenswaarden|339
63|12|Rammelwaard|338
63|13|Het Zand|434
63|14|Herwalt|215
63|15|Wogbos|431
63|16|Het Joppe|236
63|17|De Lange Oorden|266
63|18|Gorsselse Heide|192
63|19|Larense Broek|268
63|20|Kasteel Oolde|242
63|21|Esveldsbos|177
63|22|Munsterman|297
63|23|Reeënberg|340
63|24|De Westerveldhuizen|421
63|25|Loenerveld|278
63|26|De Vrijenberg|407
63|27|Hoeve Delle|219
63|28|Ramenberg|337
63|29|Loenermark en Loenense Bos|278
63|30|Steilhul|377
63|31|Groenouwe|197
63|32|De Molenbeek|294
63|33|Grootmoeshul|201
63|34|De Steenputten|377
63|35|Huis te Eerbeek|229
63|36|Empese en Tondense Heide|174
63|37|De Overmars|327
63|38|Oude IJssel te Empe|324
63|39|Voorstonden|405
63|40|Leusveld|273
63|41|Soerense Broek|369
63|42|De Kievit en Denk en Werk|245
63|43|Den Bosch|136
63|44|Bronkhorst|145
63|45|Cortenoever|151
63|46|Bronsbergen|145
63|47|Den Dam|153
63|48|De Voorst|404
63|49|'t Velde en Veldese Bos|395
63|50|Oud Berkenroede|322
63|51|De Ehze|171
63|52|Velhorst|395
63|53|Lacerta|261
63|54|'t Waliën|410
63|55|Grote Veld|202
63|56|Den Bramel|142
63|57|'t Enzerinck|176
63|58|Dennenwater|156
63|59|De Belten|120
63|60|Oude Voorde|324
63|61|De Boggelaar|133
63|62|Hackfort|205
63|63|Vorden|405
63|64|Het Hissink|218
63|65|Kieftskamp|245
63|66|Het Maalderink|281
63|67|'t Klooster|248
63|68|Veluwezoom, Nationaal Park|397
63|69|Hof te Dieren|219
63|70|Rozendaalse Veld|350
63|71|Beekhuizense Bossen|119
63|72|Kasteel Biljoen|241
63|73|Vaalwaard|392
63|74|Landgoed Middachten|265
63|75|Wallen van Doesburg|411
63|76|Kasteel Ulenpas|242
63|77|Hekenbroek|212
63|78|Enghuizen|175
63|79|Wassinkbrink|413
64|1|Verwolde|399
64|2|Ampsen|108
64|3|Weldam|417
64|4|Westerflier|420
64|5|Huis te Diepenheim|229
64|6|Nijenhuis|305
64|7|Groot-Boerman|198
64|8|Hengevelde|214
64|9|Twickel|389
64|10|Stepelerveld|378
64|11|De Huttensmit en Koksbos|232
64|12|Trekop|388
64|13|Paaschberg|327
64|14|Mariabos|284
64|15|Nettelhorst|303
64|16|Roeterinksbroek|347
64|17|Lochemse Berg|277
64|18|De Kale Berg|238
64|19|Wanninkhof|412
64|20|Needse Berg|301
64|21|Het Olthaar|314
64|22|Needse Achterveld|301
64|23|Teeselinkven|383
64|24|Wildenborch|426
64|25|De Wiersse|425
64|26|Beekvliet|119
64|27|Overbiel|325
64|28|Wolink|432
64|29|Het Vinkennest|400
64|30|Het Kerkloo|244
64|31|Het Zwilbroek|444
64|32|Lankheterbuiten|267
64|33|Rekkense Heide|342
64|34|Haaksbergerveen|204
64|35|Ruurlo|351
64|36|Ruurlose Broek|351
64|37|'t Zand|434
64|38|Oude Schot|324
64|39|Ruurlo landschapselementen|351
64|40|Het Zuidelijk Broek|438
64|41|Koolmansdijk|252
64|42|Lievelderbroek|275
64|43|Mellinkmaat landschapselementen|290
64|44|Hallse Heide|206
64|45|Lievelderveld|275
64|46|Reirinkbos|342
64|47|Bos te Meddo|135
64|48|Gelderesch|186
64|49|Meddoscheveld|287
64|50|Beurzerbeek|126
64|51|Vragenderveld|406
64|52|Bönnink|134
64|53|Het Waliën|411
64|54|Dottinkrade|163
65|1|Teesinkbos|383
65|2|De Weele|414
65|3|Het Rutbeek|351
65|4|Groot Brunink|198
65|5|Smalenbroek|367
65|6|Aamsveen|103
65|7|De Zieppe|437
65|8|Buurserzand|149
65|9|Witte Veen|430
65|10|Haaksbergerveen|204
65|11|Bos bij de Duitse grens|135
65|12|De Smalbraak|367
65|13|Het Broeke|144
65|14|Boeyink, Kössink en De Elzen|133
65|15|Muggenhoek|297
66|1|Springertduinen|374
66|2|Onland|315
66|3|Westduinen|418
66|4|Kleistee|247
66|5|Oude Stee|324
66|6|Bosobjecten Goeree|137
66|7|Oost- en Middelduinen|316
66|8|De Schans|354
66|9|Koudenhoek|255
66|10|Preekhilpolder|336
66|11|Oudelandse Zeedijk|325
66|12|Grevelingen|195
67|1|Kapittelduinen|240
67|2|Staelduinse Bos|375
67|3|Eendenkooi Schipluiden|170
67|4|Vlietlanden|403
67|5|Broekpolder|144
67|6|Aalkeetbuitenpolder|102
67|7|Ommeloop|314
67|8|Kleine Beer|247
67|9|Mildenburg|292
67|10|Groene Strand|197
67|11|Duinen van Oostvoorne|165
67|12|Slikken van Voorne|366
67|13|Overbosch|325
67|14|Strypemonde|381
67|15|Voornes Duin|404
67|16|Gemeentelijk Duinterrein Rockanje|189
67|17|Meertje de Waal|287
67|18|Merrevliet|291
67|19|Fort Penserdijk|182
67|20|Holle Mare|222
67|21|Blanke Waal|129
67|22|Hillenhoek|217
67|23|Bosobjecten Voorne|138
67|24|Fort Noorddijk|182
67|25|Quackgors|337
67|26|Graswegbos|194
67|27|Waalhoek|408
67|28|Natuur- en recreatiegebied Bernisse|299
67|29|Biert|126
67|30|Spijkenisse Mallebos|372
67|31|Kwade Hoek|260
67|32|Kop van Goeree|252
67|33|Scheelhoek|355
67|34|Bosobjecten Stellendam|138
67|35|Grevelingen|195
67|36|Beningerslikken|121
67|37|Korendijkse Slikken|253
67|38|Kreken Hoekse Waard|256
67|39|Bosobjecten Hoekse Waard|137
68|1|Ackerdijkse Plassen|104
68|2|Polder Noord-Kethel|334
68|3|De Tempel|383
68|4|Park Kethel|329
68|5|Overschiese Plasjes|327
68|6|Plaswijckpark|333
68|7|Kralingse Bos|255
68|8|Recreatiegebied Hitlandbos|339
68|9|Blokboezemlanden|131
68|10|Eendenkooi Kooilust|169
68|11|Eendenkooi Nooitgedacht|170
68|12|Berkenwoudse Boezem|125
68|13|Spaansche Zee|370
68|14|Commissarissenlanden|151
68|15|Koolwijk|252
68|16|Arboretum Trompenburg|113
68|17|Natuurpark Polder De Esch|300
68|18|Stormpoldervloedbos|379
68|19|Kleine Zaag|247
68|20|Eendenkooi Bakkerswaal|169
68|21|Dijkpercelen Bergambacht|158
68|22|Kasteelgaarde Rhoon|242
68|23|Rhoonese en Carnisse Grienden|344
68|24|Klein Profijt|246
68|25|Oeverlanden Oude Maas|312
68|26|Munnikendevel|297
68|27|Alblasserbos|105
68|28|Groot Koninkrijk|198
68|29|De Biesbosch, Nationaal Park|127
69|1|De Hennepakkers|214
69|2|Bergvlietse Kade|124
69|3|Lekuiterwaarden|271
69|4|Salmsteke|352
69|5|Kersbergsche en Achthovensche Uiterwaarden|244
69|6|Eendenkooi De Zouwe|171
69|7|De Boezem|133
69|8|Achthoven en Lakerveld|104
69|9|Eendenkooi Achthoven|169
69|10|De Kuilen|259
69|11|Zouweboezem|438
69|12|Scharperswijk|355
69|13|Zijp- en Zederikkade|437
69|14|Verspreid Vijfheerenlanden|399
69|15|Bolgerijen en Autena|133
69|16|Rietgat bij Fort Everdingen|345
69|17|Donkse Laagten|162
69|18|Kortebroek|254
69|19|Ooievaarsdorp Het Liesveld|315
69|20|Smoutjesvlietlanden|368
69|21|Goudriaanse en Langerakse Kade|193
69|22|Noordelose Kade|306
69|23|Blommendaal|131
69|24|Hoenderwiel|218
69|25|Zederiklanden|435
69|26|De Huibert|228
69|27|Over-Heicop|326
69|28|Over-Boeicop|325
69|29|Diefdijk|157
69|30|De Waai|408
69|31|Sonsbrug|370
69|32|Schoonrewoerdse Wiel|359
69|33|Schaayk|354
69|34|Kedichem|243
69|35|Linge Oevers-West|276
69|36|Lingebos|276
69|37|Niemandshoek|303
69|38|De Avelingen|115
69|39|De Biesbosch, Nationaal Park|127
69|40|Oost- en Noordwaard|316
69|41|Witdammen|429
69|42|Griendcomplex Werkendam|196
69|43|Loevesteyn|278
69|44|Hondswaard|223
69|45|Brakel|142
69|46|Waarden bij Gameren|409
69|47|Waarden van Poederoijen|409
69|48|Fort Giessen|181
70|1|Dwarsdijkerbosjes|167
70|2|Landgoed Sandenburg|265
70|3|Vijverbosch|400
70|4|Overlangbroek|326
70|5|Gravenbol|194
70|6|Oud Kolland|323
70|7|Waarden bij Maurik|409
70|8|Amerongse Berg|108
70|9|Remmerdense Heide|342
70|10|Plantage Willem III|332
70|11|Dikkenberg|158
70|12|Remmerstein|343
70|13|Stadsbossen, Lijstereng en Kerkebos|375
70|14|De Waarden|409
70|15|Het Rondeel|347
70|16|Waarden bij Beusichem|409
70|17|De Zump|441
70|18|Beedsdeveld|120
70|19|De Regulieren|342
70|20|Mariënwaerdt|284
70|21|Buren|148
70|22|Ommerense Veld|315
70|23|Soelen|369
70|24|Lienden|275
70|25|Komgronden Tielerwaard|250
70|26|Haaften|203
70|27|Crobsche Waard|152
70|28|Komgronden Bommelerwaard-West|250
70|29|Neerijnen|301
70|30|Hurwenensche Uiterwaarden|231
70|31|De Blommenwaard|131
70|32|Heesseltsche Uiterwaarden|210
70|33|Waarden bij Heesselt|409
70|34|Sint Andries|363
70|35|Kade te Alem|237
70|36|De Steendert|377
70|37|Ophemert|320
70|38|Waarden bij Wamel|409
70|39|Leeuwense Waard|270
70|40|Land van Maas en Waal-West|264
70|41|Waarden bij Nieuwe Schans|409
70|42|Gat van de Dam|186
70|43|Osscher Meer|322
71|1|Achterbergse Hooilanden|103
71|2|Grebbeberg en Laarseberg|194
71|3|Blauwe Kamer|129
71|4|Wageningse Uiterwaarden|410
71|5|Bergrand|124
71|6|Oranje Nassau's Oord|321
71|7|Oostereng|317
71|8|Jufferswaard|236
71|9|Wilhelminapark|428
71|10|Cardanusgronden|149
71|11|Hoog Oorsprong en Zilverberg|224
71|12|Doorwerth|162
71|13|Duno en Jagershuis|166
71|14|Valkeniersbossen|393
71|15|Pietersberg, Hemelse Berg en Oorsprong|331
71|16|Mariëndaal en Boschveld|284
71|17|Meinerswijk|289
71|18|Huissense- en Roswaard|230
71|19|Hemmen|213
71|20|Lakemond|263
71|21|Hollanderbroek|221
71|22|Ochtense Buitenpolder|311
71|23|Drutense- en Deestsewaard|164
71|24|Heerlijkheid Loenen|210
71|25|Ewijkse Plaat|177
71|26|Doddendaal|159
71|27|Staartjeswaard|374
71|28|Oosterhoutsche Waard|318
71|29|Loenense- en Oosterhoutsewaard|277
71|30|Ooypolder en Millingenwaard|320
71|31|Bergharen|123
71|32|Personnenbos|330
71|33|Den Tuut|389
71|34|Laakse Bos|261
71|35|Eendenkooi Batenburg|169
71|36|Hernense Bos en omgeving kasteel Hernen|215
71|37|Heerlijkheid Leur|210
71|38|Balgoyse Meer|116
71|39|Molenwiel|295
71|40|Vennengebied|398
71|41|Heumens Bos|215
71|42|Hatertse Broek|208
71|43|De Elshof|173
71|44|Heumensoord|216
71|45|Vier Perken en Westermeerwijk|399
71|46|Hengstdal|214
71|47|Heerlijkheid Beek|210
71|48|Duivelsberg|166
71|49|Nederrijk|301
71|50|Groesbeek|197
71|51|Maldens Vlak|282
72|1|Velperwaarden|395
72|2|Huis Bingerden|229
72|3|Greffelkamp|194
72|4|De Nevelhorst|303
72|5|Meikamer|289
72|6|Het Jagerhuis|235
72|7|Wehl landschapselementen|417
72|8|Plakslag|331
72|9|Enghuizen|175
72|10|Hagen|206
72|11|Slangenburg|366
72|12|De Koekendaal|249
72|13|De Pol|334
72|14|De Doorninksbult|162
72|15|Bemmelse-, Gendtse- en Klompenwaard|121
72|16|Oude Rijnstrangen|324
72|17|Babberichse Bos|115
72|18|De Bijvanck|128
72|19|Bergherbos|123
72|20|Huis Bergh|228
72|21|Lobberdensewaard en Tolkamerdijk|277
73|1|Slangenburg|366
73|2|Dennenoord|156
73|3|Noorderbroek|306
73|4|Tandem-Vlaswinkel|382
73|5|Hiddink|216
73|6|Het Leemscherbos|269
73|7|Vennebulten|398
73|8|Aaltense Goor|103
73|9|Eppink|176
73|10|Loohuis|278
73|11|Aalten landschapselementen|102
73|12|Walfort|410
73|13|Schaarsheide|354
73|14|'t Clooster|150
73|15|Korenburgerveen|253
73|16|Rommelgebergte|347
73|17|Mentink|290
73|18|Groters|202
73|19|Gossink|192
73|20|De Horst|226
